CourseNo	SNo	Slot	AdditionalSlot	CourseName	InstructorName	OldCredit	NewCredit	Prerequisite	Period	Maxoverallstrength	MinOtherBranchStrength	OfferedforBTechDD	ElectiveVacancy	ElectiveRegn	RoomNo	Coordinator	CCChairperson	AllocationType
CE5260	200	C		Models of Water & Air Quality	Chandan	3	9	B.Tech/DD-CE3040 -Environmental Engineering		40	10	Yes			NAC II 331	Y	Soumendra Nath Kuiry	SI
CE5290	201	F		Transportation Network Analysis	KARTHIK K SRINIVASAN	3	9	NIL		30	5	Yes			BSB377	Y	Soumendra Nath Kuiry	SI
CE5300	202	A		Applied Soil Mechanics	SOUGATA MUKHERJEE	4	10	CE 2060, CE 3350 or equivalent (for B. Tech or DD)		50	10	Yes			BSB 370	Y	Soumendra Nath Kuiry	SI
CE5340	203	B		Finite Element Method: Concepts and Applications in Geomechanics	Chandra Annavarapu	4	12	NIL		50	10	Yes			BSB 370	Y	Soumendra Nath Kuiry	SI
CE5350	204	L		Geosynthetics & Reinforced Soil Structures	DALI NAIDU ARNEPALLI	3	9	CE3350 for UG students & nil for PG students		50	10	Yes			BSB 370	Y	Soumendra Nath Kuiry	SI
CE5410	205	P	Q	Experimental Geotechnics Lab	DALI NAIDU ARNEPALLI	4	8	NIL		30	0	Yes			BSB 149	Y	Soumendra Nath Kuiry	SI
CE5410	206	P	Q	Experimental Geotechnics Lab	DODAGOUDAR G R	4	8	NIL		30	0	Yes			BSB 149	N	Soumendra Nath Kuiry	SI
CE5480	207	A		Water Resources Planning and Management	SUBBARAO PICHUKA	4	12			0	0	No			NAC II 238	Y	Soumendra Nath Kuiry	
CE5500	208	P	J	Hydroinformatics	BALAJI NARASIMHAN	9	9	NIL		0	0	No			NAC II 121	Y	Soumendra Nath Kuiry	
CE5520	209	M		Hyd. & Water Resources Engg. Seminar	BALAJI NARASIMHAN	1	2			0	0	No			NAC II 122	Y	Soumendra Nath Kuiry	
CE5690	210	J		Theory and Design of Plates and Shells	ALAGUSUNDARAMOORTHY P	3	9	NIL		60	10	Yes			STR 301	Y	Soumendra Nath Kuiry	SI
CE5710	211	D		Prestressed concrete structures	APPARAO G	3	9	CE3060 or equivalent		60	0	Yes			STR 301	Y	Soumendra Nath Kuiry	SI
CE5720	212	E		Structural stability	Lakshmi Priya P S	3	9			60	0	Yes			STR 301	Y	Soumendra Nath Kuiry	SI
CE5730	213	K		Probability Methods in Civil Engg	SUDHEENDRA HERKAL	3	9	NIL		60	20	Yes			STR 301	Y	Soumendra Nath Kuiry	SI
CE5800	214	B		Pavement Analysis and Design	Atul Narayan S P	4	12	NIL		30	5	Yes			BSB377	Y	Soumendra Nath Kuiry	SI
CE5831	215	R		Transportation Engg. Studio	KARTHIK K SRINIVASAN	3	9	CE5830 and CE5810		30	5	Yes			LAB	Y	Soumendra Nath Kuiry	SI
CE5831	216	R		Transportation Engg. Studio	LELITHA DEVI	3	9	CE5830 and CE5810		30	5	Yes			LAB	N	Soumendra Nath Kuiry	SI
CE5850	217	P	Q	Pavement Materials and Evaluation Lab	MURALI KRISHNAN J	3	9	NIL		30	5	Yes			LAB	Y	Soumendra Nath Kuiry	SI
CE5900	218	A		Intelligent Transportation Systems	LELITHA DEVI	3	9	NIL		30	5	Yes			BSB377	Y	Soumendra Nath Kuiry	SI
CE5950	219	A		Characterization of Construction Materials	Piyush Chaunsali	3	9	NA		30	10	Yes			BSB206	Y	Soumendra Nath Kuiry	SI
CE5950	220	A		Characterization of Construction Materials	ASLAM KUNHI MOHAMED	3	9	NA		30	10	Yes			BSB206	N	Soumendra Nath Kuiry	SI
CE6013	221	D		River Engineering	VENU CHANDRA	3	9			0	0	No			NAC II 237	Y	Soumendra Nath Kuiry	
CE6018	222	L		Seismic Data Analytics	RAGHUKANTH S T G	9	9	NA		60	20	Yes			STR 301	Y	Soumendra Nath Kuiry	SI
CE6030	223	C		Construction economics and finance	NIKHIL BUGALIA IITM	3	9	COT		100	20	Yes			BSB312	Y	Soumendra Nath Kuiry	SI
CE6070	224	G		Construction Project Modelling	ARITRA PAL	3	9	Postgraduate		40	0	Yes			BSB206	N	Soumendra Nath Kuiry	SI
CE6070	225	G		Construction Project Modelling	KOSHY VARGHESE	3	9	Postgraduate		40	0	Yes			BSB206	Y	Soumendra Nath Kuiry	SI
CE6123	226	UU		Project - Even Semester (building technology and construction management)	SIVAKUMAR PALANIAPPAN	20	45	CE6122		0	0	No				Y	Soumendra Nath Kuiry	
CE6143	227	UU		Project - Even semester (construction technology and management)	RAMAMURTHY K	22	48	CE6142		0	0	No				N	Soumendra Nath Kuiry	
CE6143	228	UU		Project - Even semester (construction technology and management)	KOSHY VARGHESE	22	48	CE6142		0	0	No				Y	Soumendra Nath Kuiry	
CE6180	229	E		Environmental Impact Assessment	TANUSHREE PARSAI	3	9	B.Tech/DD-CE3040 :Environmental Engineering		40	10	Yes			NAC II 331	Y	Soumendra Nath Kuiry	SI
CE6293	230	UU		Project - Even semester (Environmental Engineering)	Mathava Kumar S	20	35	CE6292		0	0	No			NAC II 356	Y	Soumendra Nath Kuiry	
CE6293	231	UU		Project - Even semester (Environmental Engineering)	SHIVA NAGENDRA S M	20	35	CE6292		0	0	No			NAC II 356	N	Soumendra Nath Kuiry	
CE6330	232	H		Rock Engineering	VIDYA BHUSHAN MAJI	3	9	NIL		40	10	Yes			BSB 370	Y	Soumendra Nath Kuiry	SI
CE6350	233	G		Mechanics and Constitutive Modelling of Geomaterials	ROBINSON R G	3	10			50	10	Yes			BSB 370	Y	Soumendra Nath Kuiry	SI
CE6350	234	G		Mechanics and Constitutive Modelling of Geomaterials	Ramesh Kannan Kandasami	3	10			50	10	Yes			BSB 370	N	Soumendra Nath Kuiry	SI
CE6400	235	F		Hydrologic Data Analysis and Modeling	CHINGKA KALAI	3	9			40	5	Yes			NAC II 122	Y	Soumendra Nath Kuiry	SI
CE6420	236	F		Ground Improvement Techniques	THYAGARAJ T	3	9	NIL		50	10	Yes			BSB 370	Y	Soumendra Nath Kuiry	SI
CE6433	237	UU		Project - Even semester (Geotechnical Engineering)	DALI NAIDU ARNEPALLI	25	44	CE6432		0	0	No				Y	Soumendra Nath Kuiry	
CE6480	238	G		Contaminant Transport Modelling	ELANGO LAKSHMANAN	3	9	NIL		35	5	Yes			NAC II 122	N	Soumendra Nath Kuiry	SI
CE6480	239	G		Contaminant Transport Modelling	SOUMENDRA NATH KUIRY	3	9	NIL		35	5	Yes			NAC II 122	Y	Soumendra Nath Kuiry	SI
CE6493	240	UU		Project - Even semester (Hydraulics and Water Resources Engineering)	SOUMENDRA NATH KUIRY	24	40	CE6492		0	0	No				Y	Soumendra Nath Kuiry	
CE6693	241	UU		Project - Even Semester (Structural Engineering)	SARAVANAN U	20	35	CE6692		0	0	No				Y	Soumendra Nath Kuiry	
CE6710	242	G		Bridge Engineering	MURTY C V R	3	9	Course in reinforced concrete design		60	0	Yes			STR 301	Y	Soumendra Nath Kuiry	SI
CE6740	243	C		Advanced analysis and design for wind and earthquake effects	SATHISH KUMAR S R	3	9	CE5620 or equivalent		60	0	Yes			STR 301	Y	Soumendra Nath Kuiry	SI
CE6840	244	G		Traffic Flow Theory	Bhargava Rama Chilukuri	3	9	NIL		30	5	Yes			BSB377	Y	Soumendra Nath Kuiry	SI
CE6933	245	UU		Project - Even semester (Transportation Engineering)	Atul Narayan S P	24	45	CE6932		30	5	Yes			PROJECT	Y	Soumendra Nath Kuiry	SI
CE6999	246	XX		Special Topics in Civil Engineering	BENNY RAPHAEL	2	6			0	0	No				Y	Soumendra Nath Kuiry	
CE7026	247	J		Displacement-based Earthquake Resistant Design of Structures	MURTY C V R	3	9			60	0	Yes			STR 401	Y	Soumendra Nath Kuiry	SI
CE7200	248	L		Fracture mechanics of concrete	APPARAO G	3	9	NIL		60	0	Yes			STR 401	Y	Soumendra Nath Kuiry	SI
CE7640	249	K		Elastic and plastic stress analysis	ALAGAPPAN	3	9	CE6780, ID6010 or COT		60	20	Yes			STR 401	Y	Soumendra Nath Kuiry	SI
CE7999	250	YY		Special topics in Civil Engineering	BENNY RAPHAEL	2	6			0	0	No				Y	Soumendra Nath Kuiry	
CH1020	251	C		Principles & Calculations in Chemical	NIKET KAISARE	4	10			0	0	No			CRC103	Y	Tarak Kumar Patra	
CH2014	252	B		Fundamentals of Heat and Mass Transfer	BASAVARAJA MADIVALA GURAPPA	4	10	None		0	0	No			MSB 355	N	Tarak Kumar Patra	
CH2014	253	B		Fundamentals of Heat and Mass Transfer	Sumesh P Thampi	4	10	None		0	0	No			MSB 355	Y	Tarak Kumar Patra	
CH2015	254	D		Fluid and Particle Mechanics	SANKHA KARMAKAR	4	10			0	0	No			MSB 355	Y	Tarak Kumar Patra	
CH2017	255	P		Properties and variables measurements laboratory	RAMNARAYANAN R	3	8			0	0	No			CHL	N	Tarak Kumar Patra	
CH2017	256	P		Properties and variables measurements laboratory	Rajnish Kumar	3	8			0	0	No			CHL	N	Tarak Kumar Patra	
CH2017	257	Q		Properties and variables measurements laboratory	RAMNARAYANAN R	3	8			0	0	No			CHL	N	Tarak Kumar Patra	
CH2017	258	Q		Properties and variables measurements laboratory	Aravind Kumar Chandiran	3	8			0	0	No			CHL	Y	Tarak Kumar Patra	
CH2017	259	P		Properties and variables measurements laboratory	Aravind Kumar Chandiran	3	8			0	0	No			CHL	Y	Tarak Kumar Patra	
CH2017	260	Q		Properties and variables measurements laboratory	Rajnish Kumar	3	8			0	0	No			CHL	N	Tarak Kumar Patra	
CH3050	261	B		Process Dynamics and Control	ABHIJIT DESHPANDE P	4	10	Basics of differential calculus, complex number theory and linear algebra.		0	0	No			MSB 240	Y	Tarak Kumar Patra	
CH3050	262	B		Process Dynamics and Control	PARUL VERMA	4	10	Basics of differential calculus, complex number theory and linear algebra.		0	0	No			MSB 240	N	Tarak Kumar Patra	
CH3052	263	C		Material Science for Chemical Engineers	NITIN MURALIDHARAN	4	10			0	0	No			MSB 355	Y	Tarak Kumar Patra	
CH3522	264	R		Unit Operations Lab	ABHIJIT DESHPANDE P	3	8			0	0	No			CHL	N	Tarak Kumar Patra	
CH3522	265	S		Unit Operations Lab	RENGANATHAN T	3	8			0	0	No			CHL	N	Tarak Kumar Patra	
CH3522	266	S		Unit Operations Lab	ABHIJIT DESHPANDE P	3	8			0	0	No			CHL	N	Tarak Kumar Patra	
CH3522	267	S		Unit Operations Lab	RAVI KRISHNA R	3	8			0	0	No			CHL	Y	Tarak Kumar Patra	
CH3522	268	R		Unit Operations Lab	RAVI KRISHNA R	3	8			0	0	No			CHL	Y	Tarak Kumar Patra	
CH3522	269	R		Unit Operations Lab	RENGANATHAN T	3	8			0	0	No			CHL	N	Tarak Kumar Patra	
CH4170	270	M		Catalyst Science & Technology	VINU R	3	9			25	10	Yes			MSB 123	Y	Tarak Kumar Patra	SI
CH4250	271	R		Process Engineering	Rajagopalan Srinivasan	4	10	CH4010: Process and Product Design		0	0	No			MSB 355 / DCF	Y	Tarak Kumar Patra	
CH4250	272	S		Process Engineering	Rajagopalan Srinivasan	4	10	CH4010: Process and Product Design		0	0	No			MSB 355 / DCF	Y	Tarak Kumar Patra	
CH4560	273	UU		Project II	RAVI KRISHNA R	6	18			50	0	Yes				Y	Tarak Kumar Patra	SI
CH4901	274	VV		Undergraduate Research 1	RAVI KRISHNA R	3	9			35	0	Yes				Y	Tarak Kumar Patra	SI
CH4902	275	VV		Undergraduate Research 2	RAVI KRISHNA R	3	9			35	0	Yes				Y	Tarak Kumar Patra	SI
CH4999	276	VV		Undergraduate Research	RAVI KRISHNA R	3	9			35	0	Yes				Y	Tarak Kumar Patra	SI
CH5002	277	G		Engineering Principles in Mammalian Systems and Synthetic Biology	RASHMI PRAVA MOHANTY	3	9	Undergraduate level understanding of ordinary differential equations and reaction rate equations is assumed. No prior knowledge of molecular cell biology is expected.		50	40	Yes			MSB 356	Y	Rajagopalan Srinivasan	SI
CH5003	278	E		Machine learning for molecular simulations	ABHINAV SANKARA RAMAN	3	9			30	15	Yes			MSB 235	Y	Rajagopalan Srinivasan	SI
CH5014	279	F		Interfacial Science and Engineering	UPENDRA NATARAJAN	3	9			150	70	Yes			MSB 355	Y	Rajagopalan Srinivasan	SI
CH5023	280	F		Unconventional Oil and Gas Resources	Rajnish Kumar	3	9	None		40	20	Yes			MSB 356	Y	Rajagopalan Srinivasan	SI
CH5030	281	A		Transport Phenomena	PUSHPAVANAM S	4	10	NIL		0	0	No			MSB 355	Y	Rajagopalan Srinivasan	
CH5060	282	T		Seminar	UPENDRA NATARAJAN	2	3			0	0	No			MSB 240	Y	Rajagopalan Srinivasan	
CH5080	283	K		Theory & Appln. of Multi Component Mass Transfer	RAVI R	3	9	NIL		15	10	Yes			CRC202	Y	Rajagopalan Srinivasan	SI
CH5100	284	G		Multiphase Systems	RENGANATHAN T	3	9	NIL		40	10	Yes			MSB 240	Y	Rajagopalan Srinivasan	SI
CH5130	285	G		Rheology of Complex Materials	KHUSHBOO SUMAN	3	9	NIL		30	20	Yes			MSB 235	Y	Rajagopalan Srinivasan	SI
CH5205	286	D		Natural Gas Engineering	JITENDRA SANGWAI	3	9			20	0	Yes			MSB 235	Y	Rajagopalan Srinivasan	SI
CH5270	287	K		Soft robotics	SUSY VARUGHESE	3	9	NIL		30	25	Yes			MSB 123	Y	Rajagopalan Srinivasan	SI
CH5400	288	G		Microelectronic Fabrication	RAMANATHAN S	3	9			20	10	Yes			MSB 123	Y	Rajagopalan Srinivasan	SI
CH5415	289	K		Constructal Design in Engineering Systems	TANMAY BASAK	3	9	NONE		15	10	Yes			CRC203	Y	Upendra Natarajan	SI
CH5440	290	G		Multivariate Data Analysis for Process Modeling	KANNAN A	3	9	NIL		100	50	Yes			MSB 355	Y	Upendra Natarajan	SI
CH5460	291	D		Unit Operation and Processes in Env.Engg.	RAVI KRISHNA R	3	9	NIL		20	10	Yes			MSB 240	Y	Upendra Natarajan	SI
CH5530	292	Q		Process Simulation Lab	Himanshu Goyal	4	9			0	0	No			DCF	Y	Rajagopalan Srinivasan	
CH5530	293	P		Process Simulation Lab	Himanshu Goyal	4	9			0	0	No			DCF	Y	Rajagopalan Srinivasan	
CH5541	294	M		Advanced Topics in Momentum Transfer	TANMAY BASAK	3	9	Knowledge on Fluid Mechanics		15	10	Yes			CRC203	Y	Upendra Natarajan	SI
CH5562	295	UU		Project II	RENGANATHAN T	14	42			0	0	No				Y	Upendra Natarajan	
CH5600	296	E		Introduction to Electrochemical Impedance Spectroscopy	RAMANATHAN S	3	9	COT		25	10	Yes			MSB 123	Y	Upendra Natarajan	SI
CH5650	297	D		Molecular Data Science and Informatics	Tarak K Patra	3	9	None		0	0	No			MSB 356	Y	Upendra Natarajan	
CH6020	298	F		Computational Fluid Dynamics Tech	SREENIVAS JAYANTI	3	9	NIL		60	20	Yes			MSB240	Y	Upendra Natarajan	SI
CH6021	299	ZZ		Introduction to Research	RAVI KRISHNA R	2	0	NIL		0	0	No				Y	Upendra Natarajan	
CH6022	300	L		Microwave Processing in Materials, Food and Medical Sciences	TANMAY BASAK	3	9			15	10	Yes			CRC203	Y	Upendra Natarajan	SI
CH6060	301	H		Numerical Tech for Engrs	RAVI R	3	9	NIL		15	10	Yes			CRC203	N	Upendra Natarajan	SI
CH6060	302	H		Numerical Tech for Engrs	TANMAY BASAK	3	9	NIL		15	10	Yes			CRC203	Y	Upendra Natarajan	SI
CH6260	303	E		Carbon Capture and Sequestration	Swapna	3	9	None		30	10	Yes			MSB 240	Y	Upendra Natarajan	SI
CH6999	304	YY		Special Topics in Chemical Engineering	NIKET KAISARE	2	6			0	0	No				Y	Upendra Natarajan	
CH7999	305	XX		Special Topics in Chemical Engineering	NIKET KAISARE	2	6			0	0	No				Y	Upendra Natarajan	
CS1100	306	F	R1, S1	Introduction to Programming	Akanksha Agrawal	3	12			0	0	No			RJN 202	Y	Nandita Das Gupta	
CS1202	307	E		Discrete Mathematics II	RAGHAVENDRA RAO B V	3	10	CS1200		10	10	Yes			SSB 134	Y	Rupesh Nasre	CG
CS1234	308	D	R	Small-Scale Application Development	RUPESH NASRE	12	12	The student must have done an introductory course on programming		0	0	No			SSB 134	Y	Madhu Mutyam	
CS2200	309	C		Language Machines and Computations	JAYALAL SARMA M N	3	10	NIL		10	10	Yes			CS 15	Y	Rupesh Nasre	CG
CS2600	310	B		Computer Organization and Architecture	GOPALAKRISHNAN SRINIVASAN	4	10	CS2300, CS2310		10	10	Yes			CS 15	Y	Rupesh Nasre	CG
CS2610	311	P		Computer Organization and Architecture Lab	GOPALAKRISHNAN SRINIVASAN	2	6			3	3	Yes			DCF+ SYS	Y	Rupesh Nasre	CG
CS2800	312	D		Design and Analysis of Algorithms	JOHN EBENEZER AUGUSTINE	4	10	CS1100, CS1200, CS2700, CS2710		10	10	Yes			CS 15	Y	Rupesh Nasre	CG
CS2810	313	Q		Object-Oriented Algorithms Implementation and Analysis Lab	Prashanth	2	6	CS2700 (Programming and Data Structures); CS2710 (PDS Lab); CS1200 (Discrete Mathematics) and MA2130 (Graph Theory).		0	0	No			SSB 134, DCF+SYS	Y	Rupesh Nasre	
CS3205	314	H		Introduction to Computer Networks	MUKULIKA MAITY	4	12			110	10	Yes			SSB 134	Y	Rupesh Nasre	CG
CS3666	315	YY		Industrial Training	Nishad	1	0			100	0	Yes				Y	Rupesh Nasre	CG
CS3700	316	A		Introduction to Database Systems	MADHU MUTYAM	4	12	CS1200 and CS2700		90	10	Yes			SSB 134	Y	Rupesh Nasre	CG
CS4700	317	G		Advanced Data Stuctures	YADU VASUDEV	4	12	Basic data structures and algorithms		80	20	Yes			SSB 134	Y	Rupesh Nasre	CG
CS4805	318	UU		B. Tech. Project	Aishwarya	8	24			100	0	Yes				Y	Rupesh Nasre	CG
CS4900	319	VV		Undergraduate Research in Computer Science - I	JAYALAL SARMA M N	4	12	CS2800, CS2810, CS2600, CS2610, CS2200		100	0	Yes				Y	Rupesh Nasre	CG
CS4910	320	VV		Undergraduate Research in Computer Science - II	Nishad	0	12	CS4900		100	0	Yes				Y	Rupesh Nasre	CG
CS5691	321	G		Pattern Recognition and Machine Learning	SUKHENDU DAS	5	15			80	20	Yes			CS 15	Y	Rupesh Nasre	CG
CS5705	322	UU		Dual Degree Project I	RUPESH NASRE	4	12			100	0	Yes				Y	Madhu Mutyam	CG
CS5815	323	UU		Dual Degree Project III	RUPESH NASRE	15	40			100	0	Yes				Y	Madhu Mutyam	CG
CS5931	324	UU		M. Tech Project Phase I	YADU VASUDEV	16	50			0	0	No				Y	Rupesh Nasre	
CS5932	325	UU		M. Tech Project Phase II	MANIKANDAN	13	36			0	0	No				Y	Rupesh Nasre	
CS6013	326	F		Advanced Compiler Design	KRISHNA NANDIVADA V	4	12			40	10	Yes			CS 26	Y	Rupesh Nasre	CG
CS6015	327	B		Linear Algebra and Random Processes	KRISHNA M SIVALINGAM	4	12	None		0	0	No			SSB 134	Y	Rupesh Nasre	
CS6024	328	H		Algorithmic Approaches to Computational Biology	MANIKANDAN	4	12	CS2800 or EE4371 or BT3051 or MA5910 or equivalent		60	30	Yes			CS 24	Y	Rupesh Nasre	CG
CS6045	329	J		Software Defined Networking	SRINIVAS NARAYANA GANAPATHY	4	12	CS3200; COT		25	5	Yes			CS 26	Y	Rupesh Nasre	CG
CS6123	330	H		Introduction to Algorithmic Learning Theory I	RAGHAVENDRA RAO B V	12	12	Familiarity with Algorithms and basics of Probability		40	20	Yes			CS 36	Y	Rupesh Nasre	CG
CS6130	331	C		Advanced Graph Algorithms	MEGHANA NASRE	4	12			50	10	Yes			CS 34	Y	Rupesh Nasre	CG
CS6170	332	F		Randomized Algorithms	SHREYAS KIRAN PAI	4	12	UGs must have taken CS2800 or equivalent and some probability course. PGs must have taken CS5800 and CS5820.		60	20	Yes			CS 24	Y	Rupesh Nasre	CG
CS6190	333	D		Recent Dev. in Theoretical Computer Scie	Aishwarya	4	12	NIL		40	10	Yes			CS 36	Y	Rupesh Nasre	CG
CS6220	334	J		Foundations of Databases (FunDB)	ANANTHA PADMANABHA MATIKURKE SHANKARA NARAYANA	4	12	CS1200, CS2700, CS2800, CS3700		40	10	Yes			CS 34	Y	Rupesh Nasre	CG
CS6225	335	G		Programs and Proofs	KARTIK NAGAR	4	12	CS3100 of equivalent		40	10	Yes			CS 26	Y	Rupesh Nasre	CG
CS6260	336	E		Automated Planning and Learning (AUPL)	MADHU MUTYAM	4	0	Familiarity with Logic, Programming, Analysis of Algorithms, and Probability		60	20	Yes				Y	Rupesh Nasre	CG
CS6330	337	J		Digital System Testing & Testable Design	KAMAKOTI V	4	12	NIL		80	80	Yes			SSB 134	Y	Rupesh Nasre	CG
CS6370	338	A		Natural Language Processing	SUTANU CHAKRABORTI	4	12	NIL		105	60	Yes			CS 15	Y	Rupesh Nasre	CG
CS6535	339	J		Matching Theory	Nishad	4	12	CS6240 / MA6230		40	10	Yes			CS 36	Y	Rupesh Nasre	CG
CS6570	340	H		Secure Systems Engineering	NARAYANASWAMY N S	4	12	COT		80	40	Yes			CS 15	Y	Rupesh Nasre	CG
CS6630	341	C		Secure Processor Microarchitecture	Chester Rebeiro	4	12	CS2600/CS6600 or equivalent		80	40	Yes			CS 24	Y	Rupesh Nasre	CG
CS6640	342	E		Advanced Computer Architecture	MADHU MUTYAM	4	12			40	10	Yes			CS 26	Y	Rupesh Nasre	CG
CS6651	343	K		Recent Topics in IoT-based Sensing	Ayon Chakraborty	3	12	CS6650, Basics of linear algebra and statistics		40	10	Yes			CS 24	Y	Rupesh Nasre	CG
CS6840	344	A		Modern Complexity Theory	JAYALAL SARMA M N	4	12	CS6014		40	10	Yes			CS 36	Y	Rupesh Nasre	CG
CS6842	345	E		Algorithmic Algebra	JAYALAL SARMA M N	4	12	COT		40	10	Yes			CS 36	Y	Rupesh Nasre	CG
CS6868	346	D		Concurrent Programming	K C SIVARAMAKRISHNAN	4	12			40	10	Yes			CS 26	Y	Rupesh Nasre	CG
CS6900	347	UU		Postgraduate Research Credits in CS	KRISHNA M SIVALINGAM	4	12			0	0	No				Y	Rupesh Nasre	
CS6910	348	D		Fundamentals of Deep Learning	CHANDRA SEKHAR C	4	12			30	10	Yes			CS 34	Y	Rupesh Nasre	CG
CS6999	349	XX		Special Topics in Computer Science and Engineering	MADHU MUTYAM	2	6			0	0	No				Y	Rupesh Nasre	
CS7011	350	J		Topics in Reinforcement Learning	Prashanth	4	12	CS6700 or COT		40	10	Yes			CS 24	Y	Rupesh Nasre	CG
CS7111	351	K		Topics in Cryptography	ASHRUJIT GHOSHAL	4	12	Foundations of Cryptography		40	10	Yes			CS 34	Y	Rupesh Nasre	CG
CS7260	352	L		Post Quantum Cryptography	Shweta Agrawal	4	12	CS6111		40	10	Yes			CS 34	Y	Rupesh Nasre	CG
CS7999	353	YY		Special Topics in Computer Science and Engineering	MADHU MUTYAM	2	6			0	0	No				Y	Rupesh Nasre	
CV1020	354	A1	R1	Solid and Fluid Mechanics	ALAGAPPAN	3	12	Vector calculus and numerical methods		0	0	No			BSB204 BSB317	N	Alagappan Ponnalagu	
CV1020	355	A1	R1	Solid and Fluid Mechanics	SARAVANAN U	3	12	Vector calculus and numerical methods		0	0	No			BSB204 BSB317	Y	Alagappan Ponnalagu	
CV1020	356	A1	R1	Solid and Fluid Mechanics	VENU CHANDRA	3	12	Vector calculus and numerical methods		0	0	No			BSB204 BSB317	N	Alagappan Ponnalagu	
CV1020	357	A1	R1	Solid and Fluid Mechanics	SOUMENDRA NATH KUIRY	3	12	Vector calculus and numerical methods		0	0	No			BSB204 BSB317	N	Alagappan Ponnalagu	
CV2020	358	A	Q	Construction Engineering	MURALI JAGANNATHAN	4	12	Nil		0	0	No			BSB202 BSB 203	N	Alagappan Ponnalagu	
CV2020	359	A	Q	Construction Engineering	RADHAKRISHNA G  PILLAI	4	12	Nil		0	0	No			BSB202 BSB 203	Y	Alagappan Ponnalagu	
CV2020	360	A	Q	Construction Engineering	KOSHY VARGHESE	4	12	Nil		0	0	No			BSB202 BSB 203	N	Alagappan Ponnalagu	
CV2020	361	A	Q	Construction Engineering	RAVINDRA GETTU	4	12	Nil		0	0	No			BSB202 BSB 203	N	Alagappan Ponnalagu	
CV2040	362	C	T	Geotechnical Engineering	Ramesh Kannan Kandasami	4	12	Nil		0	0	No			BSB202 BSB203	N	Alagappan Ponnalagu	
CV2040	363	C	T	Geotechnical Engineering	ROBINSON R G	4	12	Nil		0	0	No			BSB202 BSB203	N	Alagappan Ponnalagu	
CV2040	364	C	T	Geotechnical Engineering	THYAGARAJ T	4	12	Nil		0	0	No			BSB202 BSB203	Y	Alagappan Ponnalagu	
CV2040	365	C	T	Geotechnical Engineering	Tarun Naskar	4	12	Nil		0	0	No			BSB202 BSB203	N	Alagappan Ponnalagu	
CV2060	366	D		Transportation Engineering	Bhargava Rama Chilukuri	4	12	Nil		0	0	No			BSB317 BSB370 BSB377	N	Alagappan Ponnalagu	
CV2060	367	D		Transportation Engineering	MURALI KRISHNAN J	4	12	Nil		0	0	No			BSB317 BSB370 BSB377	Y	Alagappan Ponnalagu	
CV2060	368	D		Transportation Engineering	ANMOL PAHWA	4	12	Nil		0	0	No			BSB317 BSB370 BSB377	N	Alagappan Ponnalagu	
CV2060	369	D		Transportation Engineering	Surender Singh	4	12	Nil		0	0	No			BSB317 BSB370 BSB377	N	Alagappan Ponnalagu	
CV2060	370	D		Transportation Engineering	LELITHA DEVI	4	12	Nil		0	0	No			BSB317 BSB370 BSB377	N	Alagappan Ponnalagu	
CV2080	371	B	R	Structural Design	Lakshmi Priya P S	4	12	Structural Mechanics and Analysis		0	0	No			BSB202 BSB203	Y	Alagappan Ponnalagu	
CV2080	372	B	R	Structural Design	Pradeep	4	12	Structural Mechanics and Analysis		0	0	No			BSB202 BSB203	N	Alagappan Ponnalagu	
CV5102	373	P		COMPUTATIONAL MODELLING FOR STRUCTURAL ENGINEERS	Pradeep	2	6			60	0	Yes			STR 301	N	Soumendra Nath Kuiry	SI
CV5102	374	P		COMPUTATIONAL MODELLING FOR STRUCTURAL ENGINEERS	MEHER PRASAD A	2	6			60	0	Yes			STR 301	Y	Soumendra Nath Kuiry	SI
CV5104	375	B		BEHAVIOUR & DESIGN OF CONCRETE STRUCTURES	PRAKASH SINGH BADAL	3	9			60	0	Yes			STR 301	Y	Soumendra Nath Kuiry	SI
CV5106	376	A		BEHAVIOUR & DESIGN OF METAL STRUCTURES	ARUL JAYACHANDRAN S	3	9			60	0	Yes			STR 301	Y	Soumendra Nath Kuiry	SI
CV5510	377	S		Water Resources Engineering Laboratory	Venkatraman	4	4			0	0	No			LAB	Y	Soumendra Nath Kuiry	
CV5510	378	S		Water Resources Engineering Laboratory	VENU CHANDRA	4	4			0	0	No			LAB	N	Soumendra Nath Kuiry	
CV5510	379	S		Water Resources Engineering Laboratory	SUBBARAO PICHUKA	4	4			0	0	No			LAB	N	Soumendra Nath Kuiry	
CV5520	380	D		Construction Quality and Sustainability	SIVAKUMAR PALANIAPPAN	3	9			10	5	Yes			BSB206	Y	Soumendra Nath Kuiry	SI
CV5520	381	D		Construction Quality and Sustainability	MANU SANTHANAM	3	9			10	5	Yes			BSB206	N	Soumendra Nath Kuiry	SI
CV5600	382	C		Geospatial Data Science	SREEPARVATHY VIJAY	3	9	Nil		40	5	Yes			NAC II 122	Y	Soumendra Nath Kuiry	SI
CY1001	383	C		Chemistry I: Structure, Bonding & Reactivity	SOUMEN GHOSH	4	10	NIL		500	500	Yes				N	Sekar G	SI
CY1001	384	C		Chemistry I: Structure, Bonding & Reactivity	ARNAB RIT	4	10	NIL		500	500	Yes				N	Sekar G	SI
CY1001	385	C		Chemistry I: Structure, Bonding & Reactivity	ANBARASAN P	4	10	NIL		500	500	Yes				N	Sekar G	SI
