SNo	Slot	AdditionalSlot	CourseNo	CourseName	InstructorName	OldCredit	NewCredit	Prerequisite	Period	Maxoverallstrength	MinOtherBranchStrength	OfferedforBTechDD	ElectiveVacancy	ElectiveRegn	RoomNo	Coordinator	CCChairperson	AllocationType
205	B 		CE5470	Surface Water Hydrology	SUDHEER K P	4	12	NIL		20	5	Yes			NAC II 238	Y	Soumendra Nath Kuiry	SI
206	G 		CE5515	Global Tectonics and Planetary Seismology	RAGHUKANTH S T G	3	9	None		40	15	Yes			STR 401	Y	Soumendra Nath Kuiry	SI
207	C 		CE5530	Pavement Materials	Surender Singh	3	9	NIL		30	0	Yes			BSB 377	Y	Soumendra Nath Kuiry	SI
208	C 		CE5530	Pavement Materials	Atul Narayan S P	3	9	NIL		30	0	Yes			BSB 377	N	Soumendra Nath Kuiry	SI
209	G 	Q	CE5550	Urban Hydrology, Storm Drainage Design & Management	SUBBARAO PICHUKA	3	10	Surface Water Hydrology or Equivalent		50	10	Yes			NAC II 238	Y	Soumendra Nath Kuiry	SI
210	D 		CE5590	Pavement Management System	MURALI KRISHNAN J	3	9	NIL		60	0	Yes			BSB 377	Y	Soumendra Nath Kuiry	SI
211	A 		CE5810	Urban Transportation Planning	KARTHIK K SRINIVASAN	3	9			30	0	Yes			BSB 377	Y	Soumendra Nath Kuiry	SI
212	F 		CE5830	Traffic Engg & Management	LELITHA DEVI	3	9	NIL		30	0	Yes			BSB 377	Y	Soumendra Nath Kuiry	SI
213	R 		CE5840	Transportation Engineering Seminar	LELITHA DEVI	1	3			0	0	No			BSB 237	Y	Soumendra Nath Kuiry	
214	R 		CE5840	Transportation Engineering Seminar	Surender Singh	1	3			0	0	No			BSB 237	N	Soumendra Nath Kuiry	
215	H 		CE5870	Infrastructure Planning and Management	ASHWIN MAHALINGAM	3	9	N/A		60	0	Yes			BSB 206	Y	Soumendra Nath Kuiry	SI
216	D 		CE5972	Optimisation Techniques in Transportation Engineering	ANMOL PAHWA	3	9			50	0	Yes			BSB 237	Y	Soumendra Nath Kuiry	SI
217	A 		CE6010	Construction Contracts & Specifications	MURALI JAGANNATHAN	3	9	NIL		70	0	Yes			BSB 206	Y	Soumendra Nath Kuiry	SI
218	F 		CE6011	Smart buildings and automation	BENNY RAPHAEL	3	9	NIL		60	0	Yes			BSB 204	Y	Soumendra Nath Kuiry	SI
219	B 		CE6015	Solid Waste Management	MOHANAKRISHNAN LOGAN	3	9	Nil		40	0	Yes			NAC II 331	Y	Soumendra Nath Kuiry	SI
220	K 		CE6017	PRECAST AND SPECIAL CONCRETE STRUCTURES	AMLAN K SENGUPTA	9	9	CE5630 or equivalent		40	10	Yes			STR 401	Y	Soumendra Nath Kuiry	SI
221	ZZ		CE6021	Introduction to Research	SIVAKUMAR PALANIAPPAN	2	0	NIL		0	0	No			BSB 206	Y	Soumendra Nath Kuiry	
222	ZZ		CE6021	Introduction to Research	Atul Narayan S P	2	0	NIL		0	0	No			BSB 206	N	Soumendra Nath Kuiry	
223	C 		CE6050	Lean construction project delivery	KOSHY VARGHESE	3	9	NIL		80	0	Yes			BSB 204	Y	Soumendra Nath Kuiry	SI
224	C 		CE6050	Lean construction project delivery	MURALI JAGANNATHAN	3	9	NIL		80	0	Yes			BSB 204	N	Soumendra Nath Kuiry	SI
225	VV		CE6121	Project - Summer term (Building Technology and Construction Management)	SIVAKUMAR PALANIAPPAN	10	20	None		0	0	No				Y	Soumendra Nath Kuiry	
226	VV		CE6122	Project - Odd semester (building technology and construction management)	SIVAKUMAR PALANIAPPAN	10	28	CE6121		0	0	No				Y	Soumendra Nath Kuiry	
227	VV		CE6291	Project - Summer Term (Environmental Engineering)	Mathava Kumar S	10	20	None		0	0	No				Y	Soumendra Nath Kuiry	
228	VV		CE6292	Project - Odd semester (Environmental Engineering)	Mathava Kumar S	12	30	CE6291		0	0	No			NAC II 356	Y	Soumendra Nath Kuiry	
229	ZZ		CE6431	Project - Summer term (Geotechnical Engineering)	SUBHADEEP BANERJEE	10	20	None		0	0	No				Y	Soumendra Nath Kuiry	
230	VV		CE6432	Project - Odd semester (Geotechnical Engineering)	SUBHADEEP BANERJEE	10	25	CE6431		0	0	No				Y	Soumendra Nath Kuiry	
231	VV		CE6492	Project - Odd semester (Hydraulics and Water Resources Engineering)	Venkatraman	20	30	CE6491		0	0	No				Y	Soumendra Nath Kuiry	
232	VV		CE6691	Project - Summer term (Structural Engineering)	SARAVANAN U	8	20	None		0	0	No				N	Soumendra Nath Kuiry	
233	VV		CE6691	Project - Summer term (Structural Engineering)	RAGHUKANTH S T G	8	20	None		0	0	No				Y	Soumendra Nath Kuiry	
234	VV		CE6692	Project - Odd semester (Structural engineering)	RAGHUKANTH S T G	10	32	CE6691		0	0	No				N	Soumendra Nath Kuiry	
235	VV		CE6692	Project - Odd semester (Structural engineering)	SARAVANAN U	10	32	CE6691		0	0	No				Y	Soumendra Nath Kuiry	
236	VV		CE6932	Project - Odd semester (Transportation Engineering)	Bhargava Rama Chilukuri	19	25	CE6931		0	0	No				Y	Soumendra Nath Kuiry	
237	XX		CE6999	Special Topics in Civil Engineering	BENNY RAPHAEL	2	6			0	0	No				Y	Soumendra Nath Kuiry	
238	J 		CE7016	Nonlinear analysis of frame structures	RUPEN GOSWAMI	3	9	COT		30	0	Yes			BSB 377	Y	Soumendra Nath Kuiry	SI
239	J 		CE7620	Rheology of Civil Engineering Materials 	SARAVANAN U	3	9	NULL		0	0	No			STR 301	Y	Soumendra Nath Kuiry	
240	J 		CE7620	Rheology of Civil Engineering Materials 	MURALI KRISHNAN J	3	9	NULL		0	0	No			STR 301	N	Soumendra Nath Kuiry	
241	YY		CE7999	Special topics in Civil Engineering	BENNY RAPHAEL	2	6			0	0	No				Y	Soumendra Nath Kuiry	
242	A 		CH1100	Fundamentals of Thermodynamics	RASHMI PRAVA MOHANTY	3	10	Nil		0	0	No			CRC103	Y	Himanshu Goyal	
243	C 		CH2010	Chemical Engineering Thermodynamics	KHUSHBOO SUMAN	4	10	NIL		0	0	No			CRC101	Y	Himanshu Goyal	
244	C 		CH2010	Chemical Engineering Thermodynamics	ABHINAV SANKARA RAMAN	4	10	NIL		0	0	No			CRC101	N	Himanshu Goyal	
245	B 		CH2012	Continuum Mechanics & Transport Phenomena	SANKHA KARMAKAR	4	10			0	0	No			MSB355	Y	Himanshu Goyal	
246	R 		CH2013	Computational Programming & Process Simulation Lab	Swapna	2	5			0	0	No			DCF	Y	Himanshu Goyal	
247	S 		CH2013	Computational Programming & Process Simulation Lab	Aravind Kumar Chandiran	2	5			0	0	No			DCF	N	Himanshu Goyal	
248	R 		CH2013	Computational Programming & Process Simulation Lab	Aravind Kumar Chandiran	2	5			0	0	No			DCF	N	Himanshu Goyal	
249	S 		CH2013	Computational Programming & Process Simulation Lab	Swapna	2	5			0	0	No			DCF	Y	Himanshu Goyal	
250	M 	K1	CH2061	Computational Techniques	UPENDRA NATARAJAN	4	10	NIL		0	0	No			MSB355	Y	Himanshu Goyal	
251	D 		CH3010	Chemical Reaction Engineering	SAGAR SOURAV	4	10	NIL		0	0	No			MSB355	Y	Himanshu Goyal	
252	C 		CH3030	Applications of Mass Transfer	ETHAYARAJA MANI	4	10			0	0	No			MSB240	Y	Himanshu Goyal	
253	B 		CH3052	Material Science for Chemical Engineers	Tarak K Patra	4	10			0	0	No			MSB240	Y	Himanshu Goyal	
254	F 		CH3170	Ecological Engineering	SUSY VARUGHESE	3	9	NIL		70	35	Yes			CRC204	Y	Himanshu Goyal	SI
255	P 		CH3510	Momentum Transfer & MO Lab	KHUSHBOO SUMAN	4	5	Fluid Particle Mechanics		0	0	No			CHL	N	Himanshu Goyal	
256	Q 		CH3510	Momentum Transfer & MO Lab	KHUSHBOO SUMAN	4	5	Fluid Particle Mechanics		0	0	No			CHL	N	Himanshu Goyal	
257	P 		CH3510	Momentum Transfer & MO Lab	NITIN MURALIDHARAN	4	5	Fluid Particle Mechanics		0	0	No			CHL	Y	Himanshu Goyal	
258	Q 		CH3510	Momentum Transfer & MO Lab	SANKHA KARMAKAR	4	5	Fluid Particle Mechanics		0	0	No			CHL	N	Himanshu Goyal	
259	Q 		CH3510	Momentum Transfer & MO Lab	RAMNARAYANAN R	4	5	Fluid Particle Mechanics		0	0	No			CHL	N	Himanshu Goyal	
260	P 		CH3510	Momentum Transfer & MO Lab	RAMNARAYANAN R	4	5	Fluid Particle Mechanics		0	0	No			CHL	N	Himanshu Goyal	
261	P 		CH3510	Momentum Transfer & MO Lab	SANKHA KARMAKAR	4	5	Fluid Particle Mechanics		0	0	No			CHL	N	Himanshu Goyal	
262	Q 		CH3510	Momentum Transfer & MO Lab	NITIN MURALIDHARAN	4	5	Fluid Particle Mechanics		0	0	No			CHL	Y	Himanshu Goyal	
263	A 		CH4010	Process and Product Design	RAVI KRISHNA R	10	10			0	0	No			MSB355	N	Himanshu Goyal	
264	A 		CH4010	Process and Product Design	SUSY VARUGHESE	10	10			0	0	No			MSB355	Y	Himanshu Goyal	
265	R 		CH4030	Process Control Lab	SAGAR SOURAV	2	5	Process Dynamics and Control or equivalent		0	0	No			CHL	N	Himanshu Goyal	
266	S 		CH4030	Process Control Lab	ABHIJIT DESHPANDE P	2	5	Process Dynamics and Control or equivalent		0	0	No			CHL	N	Himanshu Goyal	
267	S 		CH4030	Process Control Lab	VINU R	2	5	Process Dynamics and Control or equivalent		0	0	No			CHL	Y	Himanshu Goyal	
268	R 		CH4030	Process Control Lab	ABHIJIT DESHPANDE P	2	5	Process Dynamics and Control or equivalent		0	0	No			CHL	N	Himanshu Goyal	
269	S 		CH4030	Process Control Lab	SAGAR SOURAV	2	5	Process Dynamics and Control or equivalent		0	0	No			CHL	N	Himanshu Goyal	
270	R 		CH4030	Process Control Lab	VINU R	2	5	Process Dynamics and Control or equivalent		0	0	No			CHL	Y	Himanshu Goyal	
271	UU		CH4530	Project I	RAVI KRISHNA R	3	9	NULL		60	0	Yes				Y	Himanshu Goyal	SI
272	XX		CH4901	Undergraduate Research 1	RAVI KRISHNA R	3	9			60	10	Yes				Y	Himanshu Goyal	SI
273	XX		CH4902	Undergraduate Research 2	RAVI KRISHNA R	3	9			60	10	Yes				Y	Himanshu Goyal	SI
274	YY		CH4999	Undergraduate Research	RAVI KRISHNA R	3	9			60	10	Yes				Y	Himanshu Goyal	SI
275	D 		CH5010	Chemical Reactor Theory	Himanshu Goyal	4	10	Undergraduate Chemical Reaction Engineering		0	0	No			MSB240	Y	Aravind Kumar Chandiran	
276	E 		CH5011	Colloids and Surfaces	BASAVARAJA MADIVALA GURAPPA	3	9			10	5	Yes			MSB123	Y	Aravind Kumar Chandiran	SI
277	B 		CH5013	Principles of Fuel Cells	RAGHURAM CHETTY	3	9			40	25	Yes			MSB356	Y	Aravind Kumar Chandiran	SI
278	F 		CH5014	Interfacial Science and Engineering	UPENDRA NATARAJAN	3	9			200	100	Yes			MSB240	Y	Aravind Kumar Chandiran	SI
279	F 		CH5018	Biomass Conversion Processes and Analysis	Rajnish Kumar	3	9			40	10	Yes			MSB356	N	Aravind Kumar Chandiran	SI
280	F 		CH5018	Biomass Conversion Processes and Analysis	VINU R	3	9			40	10	Yes			MSB356	Y	Aravind Kumar Chandiran	SI
281	F 		CH5020	Statistical Design and Analysis of Experiments	KANNAN A	3	9	NIL		120	70	Yes			MSB355	Y	Aravind Kumar Chandiran	SI
282	M 		CH5025	Fundamental Concepts and Applications of Adsorption	KANNAN A	3	9	Nil		50	30	Yes			MSB235	Y	Aravind Kumar Chandiran	SI
283	L 		CH5027	Principles of  Thermal Processing and Packaging in Food Industries	TANMAY BASAK	3	9	None		15	10	Yes			CRC203	Y	Aravind Kumar Chandiran	SI
284	C 		CH5050	Advanced Chemical Engg Thermodynamics	RENGANATHAN T	4	10	NIL		0	0	No			MSB355	Y	Aravind Kumar Chandiran	
285	K 		CH5090	Bioprocess Engineering	RAVI R	3	9			15	10	Yes			CRC203	Y	Aravind Kumar Chandiran	SI
286	K 		CH5090	Bioprocess Engineering	TANMAY BASAK	3	9			15	10	Yes			CRC203	N	Aravind Kumar Chandiran	SI
287	G 		CH5190	Introduction of Macromolecules	ABHIJIT DESHPANDE P	3	9	NIL		40	20	Yes			MSB235	Y	Aravind Kumar Chandiran	SI
288	H 		CH5340	Computational Methods in Catalysis	Jithin John Varghese	3	9			10	10	Yes			DCF	Y	Aravind Kumar Chandiran	SI
289	D 		CH5370	Environmental Quality Monitoring & Analysis	RAVI KRISHNA R	3	9	None		25	10	Yes			MSB235	Y	Aravind Kumar Chandiran	SI
290	A 		CH5520	Mathematical Methods for Chemical Engineers	PUSHPAVANAM S	4	10	NIL		0	0	No			MSB240	Y	Aravind Kumar Chandiran	
291	UU		CH5561	Project I	RENGANATHAN T	13	35			0	0	No				Y	Aravind Kumar Chandiran	
292	UU		CH5682	Project I	RENGANATHAN T	14	32			0	0	No				Y	Aravind Kumar Chandiran	
293	D 		CH5700	Upstream oil and gas engineering	JITENDRA SANGWAI	3	9			20	10	Yes			MSB356	Y	Rajnish Kumar	SI
294	H 		CH5960	The Nuclear Energy Option	SREENIVAS JAYANTI	3	9			60	40	Yes			MSB240	Y	Rajnish Kumar	SI
295	ZZ		CH6021	Introduction to Research	RAVI KRISHNA R	2	0	NIL		0	0	No				Y	Rajnish Kumar	
296	C 	H1	CH6031	Communication and Soft Skills in Research	NIKET KAISARE	3	9	CH6021 - Introduction to Research or ID6020 - Introduction of Research (Institute Module)		0	0	No			KCB318	Y	Rajnish Kumar	
297	H 		CH6060	Numerical Tech for Engrs	RAVI R	3	9	NIL		15	10	Yes			CRC305	N	Rajnish Kumar	SI
298	H 		CH6060	Numerical Tech for Engrs	TANMAY BASAK	3	9	NIL		15	10	Yes			CRC305	Y	Rajnish Kumar	SI
299	H 		CH6103	Mathematical modelling of biological systems	PARUL VERMA	4	9	Familiarity with ODEs, PREs, nonlinear dynamical systems analysis		15	7	Yes			MSB235	Y	Rajnish Kumar	SI
300	M 		CH6110	Finite Element Methods in Engg	TANMAY BASAK	3	9	NIL		15	10	Yes			CRC305	Y	Rajnish Kumar	SI
301	T 		CH6356	Project Management of Process Industries	PUSHPAVANAM S	3	9	CommunicationNone		0	0	No			MSB240	Y	Rajnish Kumar	
302	F 		CH6760	Hydrodynamics of complex fluids	Sumesh P Thampi	3	9	Introduction to fluid mechanics		15	10	Yes			MSB123	Y	Rajnish Kumar	SI
303	MM		CH6999	Special Topics in Chemical Engineering	NIKET KAISARE	2	6			0	0	No				Y	Rajnish Kumar	
304	NT		CH7999	Special Topics in Chemical Engineering	NIKET KAISARE	2	6			0	0	No				Y	Rajnish Kumar	
305	M 		CH8010	Advanced Topics in CFD	SREENIVAS JAYANTI	3	9	Any prior course in CFD including NPTEL offerings		60	40	Yes			MSB356	Y	Rajnish Kumar	SI
306	F 		CS1100	Introduction to Programming	Prashanth	3	12			0	0	No				Y	Nandita Das Gupta	
307	R1		CS1100	Introduction to Programming	Prashanth	3	12			0	0	No			DCF	Y	Nandita Das Gupta	
308	F 	S2	CS1111	Problem Solving using Computers	YADU VASUDEV	4	12	NIL		0	0	No			SSB134,DCF	Y	Rupesh Nasre	
309	E 		CS1200	Discrete Mathematics for Computer Science	Aishwarya	3	10			0	0	No			SSB134	Y	Rupesh Nasre	
310	B 		CS2300	Foundations of Computer Systems Design	Ayon Chakraborty	3	9	NIL		10	10	Yes			SSB134	Y	Rupesh Nasre	CG
311	Q 		CS2310	Foundations of Computer Systems Design Lab	Ayon Chakraborty	2	4	CS1200		0	0	No			DCF,SSB134	Y	Rupesh Nasre	
312	C 		CS2700	Programming and Data Structures	MEGHANA NASRE	4	10	CS1100, CS1200		0	0	No			SSB134	Y	Rupesh Nasre	
313	T 		CS2710	Programming and Data Structures Lab	MEGHANA NASRE	2	6	CS1100, CS1200		0	0	No			DCF	Y	Rupesh Nasre	
314	E 		CS3100	Paradigms of Programming	KARTIK NAGAR	4	9	cs2200, cs2600, cs2610, cs2700, cs2710		0	0	No			CS15	Y	Rupesh Nasre	
315	B 	Q	CS3300	Compiler Design	K C SIVARAMAKRISHNAN	3	15			3	3	Yes			CS15,DCF	Y	Rupesh Nasre	CG
316	D 	P	CS3500	Operating Systems	SRINIVAS NARAYANA GANAPATHY	3	15			0	0	No			CS15, DCF	Y	Rupesh Nasre	
317	XX		CS4900	Undergraduate Research in Computer Science - I	ANANTHA PADMANABHA MATIKURKE SHANKARA NARAYANA	4	12	CS2800, CS2810, CS2600, CS2610, CS2200		84	0	Yes				Y	Rupesh Nasre	CG
318	XX		CS4910	Undergraduate Research in Computer Science - II	JAYALAL SARMA M N	0	12	CS4900		84	0	Yes				Y	Rupesh Nasre	CG
319	F 		CS5013	PAI: Programming with AI	KRISHNA NANDIVADA V	4	12	Object oriented programming skills and understanding of data structures/algorithms would be assumed.		60	30	Yes			CS15	Y	Rupesh Nasre	CG
320	J 		CS5210	Linear Programming and Combinatorial Optimization	Nishad	4	12	CS1200 / MA2130		30	10	Yes			CS34	Y	Rupesh Nasre	CG
321	C 		CS5691	Pattern Recognition and Machine Learning	MANIKANDAN	4	12			40	0	Yes			CS15	Y	Rupesh Nasre	CG
322	F 		CS5692	Introduction to Logic in Computer Science (ILICS)	ANANTHA PADMANABHA MATIKURKE SHANKARA NARAYANA	4	12	CS1200-Discrete Mathematics for Computer Science or MA2060-Discrete Mathematics CS2800-Design and Analysis of Algorithms CS2200-Language Machines and Computations		40	10	Yes			CS36	Y	Rupesh Nasre	CG
323	UU		CS5715	Dual Degree Project II	RUPESH NASRE	11	33			84	0	Yes				Y	Rupesh Nasre	CG
324	B 		CS5800	Advanced Data Structures & Algorithms	SHREYAS KIRAN PAI	4	12	CS2800 or equivalent		0	0	No			CS34	Y	Rupesh Nasre	
325	UU		CS5931	M. Tech Project Phase I	SUTANU CHAKRABORTI	16	50			0	0	No				Y	Rupesh Nasre	
326	UU		CS5932	M. Tech Project Phase II	YADU VASUDEV	13	36			0	0	No				Y	Rupesh Nasre	
327	A 		CS6014	Computability and Complexity	RAGHAVENDRA RAO B V	4	12	CS2200 or equivalent for UG		40	10	Yes			CS36	Y	Rupesh Nasre	CG
328	D 		CS6015	Linear Algebra and Random Processes	KRISHNA M SIVALINGAM	4	12	None		0	0	No			SSB134	Y	Rupesh Nasre	
329	G 		CS6023	GPU Programming	RUPESH NASRE	4	12	CS2710 or Equivalent		80	20	Yes			SSB134	Y	Madhu Mutyam	CG
330	J 		CS6048	Beyond TCP/IP: Modern Networking Advances	MUKULIKA MAITY	4	12	Computer Networking; Programming and Data Structures		40	10	Yes			CS26	Y	Rupesh Nasre	CG
331	G 		CS6100	Topics in Design & Analysis of Algorithms	Akanksha Agrawal	4	12			40	10	Yes			CS34	Y	Rupesh Nasre	CG
332	H 		CS6111	Foundations of cryptography	ASHRUJIT GHOSHAL	4	12			60	10	Yes			CS34	Y	Rupesh Nasre	CG
333	T 	M2	CS6150	Advanced Programming	NARAYANASWAMY N S	4	12	Basic Programming in C/C++		0	0	No			DCF, CS15	Y	Rupesh Nasre	
334	J 		CS6190	Recent Dev. in Theoretical Computer Scie	Shweta Agrawal	4	12	NIL		35	5	Yes			CS36	Y	Rupesh Nasre	CG
335	A 		CS6230	CAD for VLSI Systems	GOPALAKRISHNAN SRINIVASAN	4	12	NIL		60	60	Yes			CS24	Y	Rupesh Nasre	CG
336	A 		CS6251	Computational Models of Cognition 	SUTANU CHAKRABORTI	4	12	CS5011/CS6690/CS6380		40	10	Yes			CS26	Y	Rupesh Nasre	CG
337	G 		CS6350	Computer Vision	SUKHENDU DAS	4	12			35	25	Yes			CS36	Y	Rupesh Nasre	CG
338	H 		CS6380	Artificial Intelligence	PULKIT VERMA	4	12	COT		60	10	Yes			CS15	Y	Rupesh Nasre	CG
339	E 		CS6530	Applied Cryptography 	Manikantan Srinivasan	4	12	COT		40	10	Yes			CS24	Y	Rupesh Nasre	CG
340	J 		CS6590	Security Testing - Vulnerability Assessment and Ethical Hacking	Chester Rebeiro	4	12	Students need to be familiar with Computer Networks and Operating Systems		50	40	Yes			SSB134	Y	Rupesh Nasre	CG
341	F 		CS6600	Computer Architecture 	MADHU MUTYAM	4	12	COT		30	30	Yes			CS26	Y	Rupesh Nasre	CG
342	C 		CS6666	Blockchain and Distributed Ledger Technologies	JANAKIRAM D	4	12			40	10	Yes			CS34	Y	Rupesh Nasre	CG
343	C 		CS6846	Quantum Algorithms and Quantum Complexity	JAYALAL SARMA M N	4	12			40	10	Yes			CS36	Y	Rupesh Nasre	CG
344	A 		CS6855	Multi-Agent Systems	JOHN EBENEZER AUGUSTINE	4	12	CS2800 or CS5800		60	20	Yes			SSB134	Y	Rupesh Nasre	CG
345	H 		CS6886	Systems Engineering for Deep Learning	GOPALAKRISHNAN SRINIVASAN	4	12	CS5691 / EE5177 and CS 2600 		30	10	Yes			CS24	Y	Rupesh Nasre	CG
346	UU		CS6900	Postgraduate Research Credits in CS	YADU VASUDEV	4	12			0	0	No				Y	Rupesh Nasre	
347	XX		CS6999	Special Topics in Computer Science and Engineering	MADHU MUTYAM	2	6			0	0	No				Y	Rupesh Nasre	
348	YY		CS7999	Special Topics in Computer Science and Engineering	MADHU MUTYAM	2	6			0	0	No				Y	Rupesh Nasre	
349	Q1		CV1030	Building Drawing and Visualization	MANU SANTHANAM	2	6	Nil		150	0	Yes			BSB 312 BSB 317	Y	Alagappan Ponnalagu	SI
350	Q1		CV1030	Building Drawing and Visualization	ARUN MENON	2	6	Nil		150	0	Yes			BSB 312 BSB 317	N	Alagappan Ponnalagu	SI
351	B1	R1	CV1050	Vector Calculus and Numerical Methods 	Chandra Annavarapu	4	12	Nil		150	0	Yes			BSB 312 BSB 317	Y	Alagappan Ponnalagu	SI
352	B1	R1	CV1050	Vector Calculus and Numerical Methods 	SARAVANAN U	4	12	Nil		150	0	Yes			BSB 312 BSB 317	N	Alagappan Ponnalagu	SI
353	C 	T	CV2010	Structural Mechanics and Analysis 	Pradeep	4	12	Nil		150	0	Yes			BSB 202 BSB 203	N	Alagappan Ponnalagu	SI
354	C 	T	CV2010	Structural Mechanics and Analysis 	Lakshmi Priya P S	4	12	Nil		150	0	Yes			BSB 202 BSB 203	Y	Alagappan Ponnalagu	SI
355	E 	S	CV2030	Measurement and Sensing 	Atul Narayan S P	4	12	Nil		150	0	Yes			BSB 204	Y	Alagappan Ponnalagu	SI
356	E 	S	CV2030	Measurement and Sensing 	ARITRA PAL	4	12	Nil		150	0	Yes			BSB 204	N	Alagappan Ponnalagu	SI
357	E 	S	CV2030	Measurement and Sensing 	SUBBARAO PICHUKA	4	12	Nil		150	0	Yes			BSB 204	N	Alagappan Ponnalagu	SI
358	D 	R	CV2050	Environmental Engineering	TANUSHREE PARSAI	4	12	Nil		150	0	Yes			BSB 202 BSB 203	N	Alagappan Ponnalagu	SI
359	D 	R	CV2050	Environmental Engineering	Chandan	4	12	Nil		150	0	Yes			BSB 202 BSB 203	Y	Alagappan Ponnalagu	SI
360	B 	Q	CV2070	Hydraulics and Water Resources Engineering 	CHINGKA KALAI	4	12	Solid and Fluids Mechanics		150	0	Yes			BSB 202 BSB 203	N	Alagappan Ponnalagu	SI
361	B 	Q	CV2070	Hydraulics and Water Resources Engineering 	SREEPARVATHY VIJAY	4	12	Solid and Fluids Mechanics		150	0	Yes			BSB 202 BSB 203	Y	Alagappan Ponnalagu	SI
362	A 		CV2090	Probability & Statistics for CE 	PRAKASH SINGH BADAL	4	12	Nil		150	0	Yes			BSB 204 BSB 312	Y	Alagappan Ponnalagu	SI
363	A 		CV2090	Probability & Statistics for CE 	RAGHUKANTH S T G	4	12	Nil		150	0	Yes			BSB 204 BSB 312	N	Alagappan Ponnalagu	SI
364	A 	Q	CV3010	Scientific Computing in Civil Engineering 	ALAGAPPAN	4	12	Nil		150	0	Yes			BSB 202 DCF VSH 368	N	Alagappan Ponnalagu	SI
365	A 	Q	CV3010	Scientific Computing in Civil Engineering 	BENNY RAPHAEL	4	12	Nil		150	0	Yes			BSB 202 DCF VSH 368	Y	Alagappan Ponnalagu	SI
366	C 		CV3030	Computational Structural Analysis	NAGESWARA RAO B	3	9	Structural Mechanics and Analysis		40	0	Yes			BSB 237	Y	Alagappan Ponnalagu	SI
367	S 		CV3050	Civil Engineering Laboratory and Practice	Mathava Kumar S	3	6			150	0	Yes				N	Alagappan Ponnalagu	SI
368	S 		CV3050	Civil Engineering Laboratory and Practice	KEERTHANA KIRUPAKARAN	3	6			150	0	Yes				N	Alagappan Ponnalagu	SI
369	S 		CV3050	Civil Engineering Laboratory and Practice	VENU CHANDRA	3	6			150	0	Yes				N	Alagappan Ponnalagu	SI
370	S 		CV3050	Civil Engineering Laboratory and Practice	ARUN MENON	3	6			150	0	Yes				N	Alagappan Ponnalagu	SI
371	S 		CV3050	Civil Engineering Laboratory and Practice	Surender Singh	3	6			150	0	Yes				N	Alagappan Ponnalagu	SI
372	S 		CV3050	Civil Engineering Laboratory and Practice	DALI NAIDU ARNEPALLI	3	6			150	0	Yes				N	Alagappan Ponnalagu	SI
373	S 		CV3050	Civil Engineering Laboratory and Practice	Atul Narayan S P	3	6			150	0	Yes				N	Alagappan Ponnalagu	SI
374	S 		CV3050	Civil Engineering Laboratory and Practice	Piyush Chaunsali	3	6			150	0	Yes				Y	Alagappan Ponnalagu	SI
375	S 		CV3050	Civil Engineering Laboratory and Practice	THYAGARAJ T	3	6			150	0	Yes				N	Alagappan Ponnalagu	SI
376	S 		CV3050	Civil Engineering Laboratory and Practice	SREEPARVATHY VIJAY	3	6			150	0	Yes				N	Alagappan Ponnalagu	SI
377	B 	R	CV3070	Design of Civil Engineering Systems	VIKRAM CHOUDHARY	4	12			150	0	Yes			BSB 204 BSB 206	N	Alagappan Ponnalagu	SI
378	B 	R	CV3070	Design of Civil Engineering Systems	KOSHY VARGHESE	4	12			150	0	Yes			BSB 204 BSB 206	Y	Alagappan Ponnalagu	SI
379	B 	R	CV3070	Design of Civil Engineering Systems	ARUN MENON	4	12			150	0	Yes			BSB 204 BSB 206	N	Alagappan Ponnalagu	SI
380	B 	R	CV3070	Design of Civil Engineering Systems	BALAJI NARASIMHAN	4	12			150	0	Yes			BSB 204 BSB 206	N	Alagappan Ponnalagu	SI
381	B 	R	CV3070	Design of Civil Engineering Systems	SUBHADEEP BANERJEE	4	12			150	0	Yes			BSB 204 BSB 206	N	Alagappan Ponnalagu	SI
382	F 	P	CV5101	Modelling, Uncertainty and Data for Engineers	PRAKASH SINGH BADAL	4	11			60	10	Yes			STR 301	N	Soumendra Nath Kuiry	SI
383	F 	P	CV5101	Modelling, Uncertainty and Data for Engineers	SUDHEENDRA HERKAL	4	11			60	10	Yes			STR 301	N	Soumendra Nath Kuiry	SI
384	F 	P	CV5101	Modelling, Uncertainty and Data for Engineers	Pradeep	4	11			60	10	Yes			STR 301	Y	Soumendra Nath Kuiry	SI
385	D 		CV5103	ADVANCED MECHANICS OF STRUCTURES	ALAGAPPAN	3	9			0	0	No			STR 301	Y	Soumendra Nath Kuiry	
386	A 		CV5105	MATRIX & FINITE ELEMENT ANALYSES	MURTY C V R	3	9			60	10	Yes			STR 301	Y	Soumendra Nath Kuiry	SI
387	B 		CV5107	STRUCTURAL DYNAMICS	SUDHEENDRA HERKAL	3	9			60	20	Yes			STR 301	Y	Soumendra Nath Kuiry	SI
388	C 	T	CV5109	EXPERIMENTAL TECHNIQUES	APPARAO G	3	9			0	0	No			STR 301	Y	Soumendra Nath Kuiry	
389	C 	T	CV5109	EXPERIMENTAL TECHNIQUES	VIVEK SAMU	3	9			0	0	No			STR 301	N	Soumendra Nath Kuiry	
390	A 		CV5310	Basic Geomechanics	ROBINSON R G	4	12			40	0	Yes			BSB 370	N	Soumendra Nath Kuiry	SI
